,Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
128,SGN,VCS,5:25 AM,6:25 AM,Vietnam Airlines,1 hr,2024-06-19,"₫1,627,000"
129,SGN,VCS,6:50 AM,7:50 AM,Vietnam Airlines,1 hr,2024-06-19,"₫1,627,000"
130,SGN,VCS,3:10 PM,4:10 PM,,1 hr,2024-06-19,"₫1,627,000"
131,SGN,VCS,3:30 PM,4:30 PM,Operated by Vietnam Air Service,1 hr,2024-06-19,"₫1,627,000"
132,SGN,VCS,7:45 AM,8:45 AM,Vietnam Airlines,1 hr,2024-06-19,"₫1,692,000"
133,SGN,VCS,8:25 AM,9:25 AM,Vietnam Airlines,1 hr,2024-06-19,"₫1,692,000"
134,SGN,VCS,8:55 AM,10:05 AM,,1 hr 10 min,2024-06-19,"₫1,692,000"
135,SGN,VCS,10:00 AM,11:00 AM,Operated by Vietnam Air Service,1 hr,2024-06-19,"₫1,692,000"
136,SGN,VCS,11:15 AM,12:15 PM,Vietnam Airlines,1 hr,2024-06-19,"₫1,692,000"
137,SGN,VCS,12:05 PM,1:05 PM,Vietnam Airlines,1 hr,2024-06-19,"₫1,692,000"
138,SGN,VCS,12:20 PM,1:20 PM,,1 hr,2024-06-19,"₫1,692,000"
139,SGN,VCS,5:15 AM,6:15 AM,Vietnam Airlines,1 hr,2024-06-20,"₫1,627,000"
140,SGN,VCS,6:50 AM,7:50 AM,,1 hr,2024-06-20,"₫1,627,000"
141,SGN,VCS,3:10 PM,4:10 PM,Operated by Vietnam Air Service,1 hr,2024-06-20,"₫1,627,000"
142,SGN,VCS,11:45 AM,12:45 PM,Vietnam Airlines,1 hr,2024-06-20,"₫1,692,000"
143,SGN,VCS,12:20 PM,1:20 PM,,1 hr,2024-06-20,"₫1,692,000"
144,SGN,VCS,5:15 AM,6:25 AM,Operated by Vietnam Air Service,1 hr 10 min,2024-06-20,"₫1,627,000"
145,SGN,VCS,10:00 AM,11:00 AM,Vietnam Airlines,1 hr,2024-06-20,"₫1,692,000"
146,SGN,VCS,7:45 AM,8:45 AM,Vietnam Airlines,1 hr,2024-06-20,"₫1,746,000"
147,SGN,VCS,8:55 AM,10:05 AM,Vietnam Airlines,1 hr 10 min,2024-06-20,"₫1,746,000"
148,SGN,VCS,11:15 AM,12:15 PM,,1 hr,2024-06-20,"₫1,746,000"
149,SGN,VCS,12:05 PM,1:05 PM,Operated by Vietnam Air Service,1 hr,2024-06-20,"₫1,746,000"
150,SGN,VCS,,,Vietnam Airlines,,2024-06-20,
151,SGN,VCS,,,Vietnam Airlines,,2024-06-20,
152,SGN,VCS,,,,,2024-06-20,
153,SGN,VCS,,,Operated by Vietnam Air Service,,2024-06-20,
154,SGN,VCS,,,Vietnam Airlines,,2024-06-20,
155,SGN,VCS,,,Vietnam Airlines,,2024-06-20,
156,SGN,VCS,,,Vietnam Airlines,,2024-06-20,
157,SGN,VCS,,,,,2024-06-20,
158,SGN,VCS,,,Operated by Vietnam Air Service,,2024-06-20,
159,SGN,VCS,,,Vietnam Airlines,,2024-06-20,
160,SGN,VCS,,,,,2024-06-20,
161,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-13,"₫1,220,600"
162,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-13,"₫1,314,000"
163,SGN,DLI,7:05 AM,8:00 AM,Vietnam Airlines,55 min,2024-06-13,"₫1,422,000"
164,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-13,"₫1,422,000"
165,SGN,DLI,10:55 AM,11:55 AM,,1 hr,2024-06-13,"₫1,702,000"
166,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-14,"₫1,328,600"
167,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-14,"₫1,519,000"
168,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-14,"₫1,519,000"
169,SGN,DLI,7:05 AM,8:00 AM,,55 min,2024-06-14,"₫1,702,000"
170,SGN,DLI,10:55 AM,11:55 AM,Operated by Vietnam Air Service,1 hr,2024-06-14,"₫1,900,000"
171,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-15,"₫1,134,200"
172,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-15,"₫1,422,000"
